I lost.|I lose.
I still don't know what I'm going to say.|I still don't know what I'm go to say.
I stopped and waited for the car to pass.|I stop and waited for the car to pass.
I suggested that we should start at once.|I suggest that we should start at once.
I take it for granted that you will join.|I take it for grant that you will join.
I think Tom and John are identical twins.|I think Tom and John be identical twins.
I think that what you need now is a kiss.|I think that what you need now be a kbes.
I think we need to find out where Tom is.|I think we need to find out where Tom be.
I think we've wasted enough of your time.|I think we've waste enough of your time.
I think you're going to want to sit down.|I think you're go to want to sit down.
I thought that was the right thing to do.|I thought that be the right thing to do.
I thought there was somebody in the room.|I thought there be somebody in the room.
I thought you didn't like romance movies.|I thought you don't like romance movies.
I thought you went to your room to sleep.|I thought you go to your room to sleep.
I thought you were against this proposal.|I thought you be against this proposal.
I thought you were going to fix the sink.|I thought you be going to fix the sink.
I told her what he was doing in her room.|I told her what he be doing in her room.
I tried to take our dog out of our house.|I try to take our dog out of our house.
I used to play tennis with him on Sunday.|I use to play tennis with him on Sunday.
I want to ask them when their big day is.|I want to ask them when their big day be.
I want to know how this happened and why.|I want to know how this happen and why.
I want to know what's going on out there.|I want to know what's go on out there.
I want to thank you for what you've done.|I want to thank you for what you've do.
I wanted to make a good first impression.|I want to make a good first impression.
I was a high school student at that time.|I be a high school student at that time.
I was about to leave when the phone rang.|I be about to leave when the phone rang.
I was about to leave when you telephoned.|I be about to leave when you telephoned.
I was accused of eating the boss's lunch.|I be accused of eating the boss's lunch.
I was afraid of getting lost in the dark.|I be afraid of getting lost in the dark.
I was attacked and robbed on my way home.|I be attacked and robbed on my way home.
I was fortunate to make his acquaintance.|I be fortunate to make his acquaintance.
I was going out, when the telephone rang.|I be going out, when the telephone rang.
I was just about to come looking for you.|I be just about to come looking for you.
I was kind of surprised to see Tom there.|I be kind of surprised to see Tom there.
I was more than a little shocked by this.|I be more than a little shocked by this.
I was right on the spot when it happened.|I be right on the spot when it happened.
I was surprised by his sudden appearance.|I be surprised by his sudden appearance.
I was surprised by the news this morning.|I be surprised by the news this morning.
I was thinking about buying a new camera.|I be thinking about buying a new camera.
I was unable to go to his birthday party.|I be unable to go to his birthday party.
I was watching TV at this time yesterday.|I be watching TV at this time yesterday.
I wasn't aware that Tom was unhappy here.|I ben't aware that Tom be unhappy here.
I wasn't conscious of anyone watching me.|I ben't conscious of anyone watching me.
I wasn't expecting that to happen at all.|I ben't expecting that to happen at all.
I wasn't in time for school this morning.|I ben't in time for school this morning.
I watched television instead of studying.|I watch television instead of studying.
I will ask him where he went last Sunday.|I will ask him where he go last Sunday.
I wish I had a roommate to hang out with.|I wish I have a roommate to hang out with.
I wish I had studied harder for the test.|I wish I have studied harder for the test.
I wish you did not have so many problems.|I wish you do not have so many problems.
I wonder if she is staying at that hotel.|I wonder if she be staying at that hotel.
I'd be lying if I said I didn't like Tom.|I'd be lie if I said I didn't like Tom.
I'd buy a larger TV if I had room for it.|I'd buy a larger TV if I have room for it.
I'll take in the washing before it rains.|I'll take in the wash before it rains.
I'm considered a traitor to this country.|I'm consider a traitor to this country.
I'm fond of listening to classical music.|I'm fond of listen to classical music.
I'm getting the hang of this new machine.|I'm get the hang of this new machine.
I'm going for a run.|I'm go for a run.
I'm going to go buy some materials today.|I'm go to go buy some materials today.
I'm going to have to call you right back.|I'm go to have to call you right back.
I'm going to stay there for about a week.|I'm go to stay there for about a week.
I'm going to stay with my uncle in Kyoto.|I'm go to stay with my uncle in Kyoto.
I'm going to the country with my friends.|I'm go to the country with my friends.
I'm just going across to the flower shop.|I'm just go across to the flower shop.
I'm not going to tell you how to do that.|I'm not go to tell you how to do that.
I'm not saying that you're not beautiful.|I'm not say that you're not beautiful.
I'm not supposed to tell anyone about it.|I'm not suppose to tell anyone about it.
I'm not sure I follow what you're saying.|I'm not sure I follow what you're say.
I'm proud of my father being a good cook.|I'm proud of my father be a good cook.
I'm sick and tired of all this bickering.|I'm sick and tire of all this bickering.
I'm sick of listening to your complaints.|I'm sick of listen to your complaints.
I'm sorry I didn't make it to your party.|I'm sorry I don't make it to your party.
I'm sorry that I didn't email you sooner.|I'm sorry that I don't email you sooner.
I'm sorry that you've been badly injured.|I'm sorry that you've be badly injured.
I'm sorry, I didn't mean to frighten you.|I'm sorry, I don't mean to frighten you.
I didn't mean to make you cry.|I don't mean to make you cry.
I'm sure that this is a fresh water fish.|I'm sure that thbe be a fresh water fbeh.
I'm sure this is just a misunderstanding.|I'm sure thbe be just a mbeunderstanding.
I'm very tired, but I can't get to sleep.|I'm very tire, but I can't get to sleep.
I'm wearing my swimsuit under my clothes.|I'm wear my swimsuit under my clothes.
I've already memorized your phone number.|I've already memorize your phone number.
I've asked you repeatedly not to do that.|I've ask you repeatedly not to do that.
I've been in China for less than a month.|I've be in China for less than a month.
I've been looking forward to meeting you.|I've be looking forward to meeting you.
I've been trying to lose a little weight.|I've be trying to lose a little weight.
I've explained all of this to you before.|I've explain all of this to you before.
I've got a lot of things to do this week.|I've get a lot of things to do this week.
I've never seen so many trees in my life.|I've never see so many trees in my life.
I've seen my dog sneeze but never my cat.|I've see my dog sneeze but never my cat.
If I had enough money, I could go abroad.|If I have enough money, I could go abroad.
If I had known it, I would have told you.|If I have known it, I would have told you.
If I had time, I'd accept his invitation.|If I have time, I'd accept his invitation.
If I were you, I would apply for the job.|If I be you, I would apply for the job.
If I were you, I would follow his advice.|If I be you, I would follow his advice.
If it is raining, I won't go out tonight.|If it be raining, I won't go out tonight.
If it rains, the game will be called off.|If it rains, the game will be call off.
If only I had known the answer yesterday!|If only I have known the answer yesterday!
If you are hungry, you can eat the bread.|If you be hungry, you can eat the bread.
In doing anything, you must do your best.|In do anything, you must do your best.
Is it more fun being a child or an adult?|Is it more fun be a child or an adult?
Is it true that you were on TV yesterday?|Is it true that you be on TV yesterday?
Is reprinting this article a possibility?|Is reprint this article a possibility?
Isn't that what you're trying to tell me?|Isn't that what you're try to tell me?
It doesn't take long to get to his house.|It don't take long to get to his house.
It happened that the day was my birthday.|It happen that the day was my birthday.
It happened that we were on the same bus.|It happen that we were on the same bus.
It is dangerous to fly in this heavy fog.|It be dangerous to fly in thbe heavy fog.
It is difficult to speak three languages.|It be difficult to speak three languages.
It is difficult to understand his theory.|It be difficult to understand hbe theory.
It is difficult to understand this novel.|It be difficult to understand thbe novel.
It is easy for me to answer the question.|It be easy for me to answer the question.
It is evident that he has made a mistake.|It be evident that he has made a mbetake.
It is impossible to resolve the conflict.|It be impossible to resolve the conflict.
It is necessary to prepare for the worst.|It be necessary to prepare for the worst.
It is no use your trying to persuade him.|It be no use your trying to persuade him.
It is not appropriate for you to do this.|It be not appropriate for you to do thbe.
It is not easy to get rid of a bad habit.|It be not easy to get rid of a bad habit.
It is said that there is no life on Mars.|It be said that there be no life on Mars.
It is true he is rich, but he is a miser.|It be true he be rich, but he be a mbeer.
It is up to you whether to buy it or not.|It be up to you whether to buy it or not.
It looks like she's got a lot of friends.|It looks like she's get a lot of friends.
It looks like you're having a great time.|It looks like you're have a great time.
It never occurred to me that he loved me.|It never occur to me that he loved me.
It says on the label to take two tablets.|It say on the label to take two tablets.
It seems that there will be a storm soon.|It seem that there will be a storm soon.
It took me five hours to finish the work.|It take me five hours to finish the work.
It took me several hours to translate it.|It take me several hours to translate it.
It was Marie Curie who discovered radium.|It be Marie Curie who discovered radium.
It was a pleasure working with you folks.|It be a pleasure working with you folks.
It was easy for him to solve the problem.|It be easy for him to solve the problem.
It was foolish of him to do such a thing.|It be foolish of him to do such a thing.
It was like something out of a nightmare.|It be like something out of a nightmare.
It was my turn to straighten up the room.|It be my turn to straighten up the room.
It was near the river that I lost my way.|It be near the river that I lost my way.
It was not easy for us to find his house.|It be not easy for us to find his house.
It was the most painful thing in my life.|It be the most painful thing in my life.
It will be entertaining, if nothing else.|It will be entertain, if nothing else.
It will be some time before he gets well.|It will be some time before he get well.
It's been three years since I moved here.|It's be three years since I moved here.
It's been three years since the accident.|It's be three years since the accident.
It's supposed to be the other way around.|It's suppose to be the other way around.
Japan's rice market is closed to imports.|Japan's rice market be closed to imports.
I haven't made up my mind.|I haven't make up my mind.
Language acquisition requires creativity.|Language acquisition require creativity.
Learning a foreign language is difficult.|Learning a foreign language be difficult.
Left alone, the little girl began to cry.|Left alone, the little girl begin to cry.
Legend has it that this house is haunted.|Legend have it that this house is haunted.
Little by little, the bird made his nest.|Little by little, the bird make his nest.
Losses on both sides were extremely high.|Losses on both sides be extremely high.
Many consumer reviews on Amazon are fake.|Many consumer reviews on Amazon be fake.
Many people also considered him a madman.|Many people also consider him a madman.
Marriage is the union of a man and woman.|Marriage be the union of a man and woman.
Mary is very attached to the little girl.|Mary be very attached to the little girl.
Mary is young enough to be your daughter.|Mary be young enough to be your daughter.
Mary put her knitting aside and stood up.|Mary put her knit aside and stood up.
Mary told me that she was glad to see me.|Mary told me that she be glad to see me.
Maybe I'm going through a midlife crisis.|Maybe I'm go through a midlife crisis.
Maybe Tom wants to sleep a little longer.|Maybe Tom want to sleep a little longer.
Medical marijuana is legal in this state.|Medical marijuana be legal in thbe state.
Mother divided the cake into three parts.|Mother divide the cake into three parts.
Mother has been sick since last Thursday.|Mother have been sick since last Thursday.
My Internet connection isn't fast enough.|My Internet connection ben't fast enough.
My brother insisted on going there alone.|My brother insist on going there alone.
My brother is big enough to travel alone.|My brother be big enough to travel alone.
My brother is engaged in cancer research.|My brother be engaged in cancer research.
My brother is old enough to go to school.|My brother be old enough to go to school.
My car was badly damaged in the accident.|My car be badly damaged in the accident.
My dream is to travel in a space shuttle.|My dream be to travel in a space shuttle.
My father gave up smoking for his health.|My father give up smoking for his health.
My father is repairing my broken bicycle.|My father be repairing my broken bicycle.
My father used to eat at this restaurant.|My father use to eat at this restaurant.
My father used to say that time is money.|My father use to say that time is money.
My friend said he had bought a new watch.|My friend say he had bought a new watch.
My room is three times as large as yours.|My room be three times as large as yours.
My son wants to be a professional golfer.|My son want to be a professional golfer.
My uncle said that he jogs every morning.|My uncle say that he jogs every morning.
No matter who comes, don't open the door.|No matter who come, don't open the door.
No one makes chicken soup like my mother.|No one make chicken soup like my mother.
No one wants to talk about books anymore.|No one want to talk about books anymore.
No wild tigers are to be found in Africa.|No wild tigers be to be found in Africa.
No wonder they have elected him chairman.|No wonder they have elect him chairman.
Nobody really cared that Tom didn't help.|Nobody really care that Tom didn't help.
Nobody was allowed to go out of the room.|Nobody be allowed to go out of the room.
Not knowing what to do, I asked for help.|Not know what to do, I asked for help.
Nothing has to happen until you're ready.|Nothing have to happen until you're ready.
Now that school is over, you can go home.|Now that school be over, you can go home.
Now that we've finished eating, let's go.|Now that we've finish eating, let's go.
Now the mountain is hidden by the clouds.|Now the mountain be hidden by the clouds.
Nowadays, traveling costs a lot of money.|Nowadays, travel costs a lot of money.
One more person will be joining us later.|One more person will be join us later.
One of the suitcases is completely empty.|One of the suitcases be completely empty.
Osaka is the center of commerce in Japan.|Osaka be the center of commerce in Japan.
Our fighters averaged 430 missions a day.|Our fighters average 430 missions a day.
Our success was due in part to good luck.|Our success be due in part to good luck.
Owing to the snow, the train was delayed.|Owing to the snow, the train be delayed.
Personal liberty is diminishing nowadays.|Personal liberty be diminbehing nowadays.
Plastic bags are bad for the environment.|Plastic bags be bad for the environment.
Please don't talk about me when I'm gone.|Please don't talk about me when I'm go.
Rabies is the deadliest disease on earth.|Rabies be the deadliest dbeease on earth.
Reading is one of life's great pleasures.|Reading be one of life's great pleasures.
Regardless what he does, he does it well.|Regardless what he do, he do it well.
Republicans were defeated in many states.|Republicans be defeated in many states.
Search everyone who comes into this room.|Search everyone who come into this room.
Seeing me, they suddenly stopped talking.|Seeing me, they suddenly stop talking.
She advised him not to eat between meals.|She advise him not to eat between meals.
She advised him not to use too much salt.|She advise him not to use too much salt.
She allegedly killed him in self defense.|She allegedly kill him in self defense.
She asked him how to turn on the machine.|She ask him how to turn on the machine.
She attacked him with a pair of scissors.|She attack him with a pair of scissors.
She availed herself of every opportunity.|She avail herself of every opportunity.
She called him to say that she'd be late.|She call him to say that she'd be late.
She cannot have understood what you said.|She cannot have understood what you say.
She complained of the room being too hot.|She complain of the room being too hot.
She continued sobbing without looking up.|She continued sob without looking up.
She demanded to see the person in charge.|She demand to see the person in charge.
She despises him only because he is poor.|She despbees him only because he be poor.
She did it for the good of the community.|She do it for the good of the community.
She doesn't want him to pick the flowers.|She don't want him to pick the flowers.
She expressed her thanks for the present.|She express her thanks for the present.
She finished her work an hour in advance.|She finish her work an hour in advance.
She forgave him for losing all her money.|She forgave him for lose all her money.
She found him standing near the entrance.|She found him stand near the entrance.
She gets about with the help of a walker.|She get about with the help of a walker.
She got her daughter a personal computer.|She get her daughter a personal computer.
She got married when she was twenty-five.|She get married when she was twenty-five.
She had no choice but to accept her fate.|She have no choice but to accept her fate.
She had to use her dictionary many times.|She have to use her dictionary many times.
She has a cold and is absent from school.|She have a cold and is absent from school.
She has some beautiful antique furniture.|She have some beautiful antique furniture.
She has the big room entirely to herself.|She have the big room entirely to herself.
She helped the old man across the street.|She help the old man across the street.
She is always at the bottom of the class.|She be always at the bottom of the class.
She is always forgetting my phone number.|She be always forgetting my phone number.
She is anxious about her father's health.|She be anxious about her father's health.
She is busy preparing for an examination.|She be busy preparing for an examination.
She is exceedingly sensitive to the cold.|She be exceedingly sensitive to the cold.
She is no less beautiful than her mother.|She be no less beautiful than her mother.
She is quite pretty, but looks unhealthy.|She be quite pretty, but looks unhealthy.
She must be visiting England this summer.|She must be visit England this summer.
She pointed her finger at him accusingly.|She point her finger at him accusingly.
She put on her overcoat before going out.|She put on her overcoat before go out.
She risked her life to protect her child.|She risk her life to protect her child.
She sat next to him and listened quietly.|She sat next to him and listen quietly.
She spends her leisure time making dolls.|She spends her leisure time make dolls.
She succeeded in getting what she wanted.|She succeed in getting what she wanted.
She suggested that I take him to the zoo.|She suggest that I take him to the zoo.
She surprised him when she arrived early.|She surprised him when she arrive early.
She talked him into going to the concert.|She talk him into going to the concert.
She taught me so many interesting things.|She taught me so many interest things.
She told him a joke, but he didn't laugh.|She told him a joke, but he don't laugh.
She took a job in a store for the summer.|She take a job in a store for the summer.
She tried to persuade him to go with her.|She try to persuade him to go with her.
She turned pale when she heard that news.|She turn pale when she heard that news.
She was absent because she caught a cold.|She be absent because she caught a cold.
She was captured trying to steal jewelry.|She be captured trying to steal jewelry.
She was killed in an automobile accident.|She be killed in an automobile accident.
She was shocked when she heard his story.|She be shocked when she heard his story.
She was stupid enough to go out with him.|She be stupid enough to go out with him.
She was the last woman I expected to see.|She be the last woman I expected to see.
She was watching the dead leaves falling.|She be watching the dead leaves falling.
She's practicing the piano day and night.|She's practice the piano day and night.
She's the closest thing to family he has.|She's the closest thing to family he have.
Since he was tired, he went to bed early.|Since he be tired, he went to bed early.
Since there were no taxis, I had to walk.|Since there be no taxis, I had to walk.
Smallpox was unknown to Native Americans.|Smallpox be unknown to Native Americans.
So, are you going to tell me who you are?|So, be you going to tell me who you be?
Soccer is the world's most popular sport.|Soccer be the world's most popular sport.
Someone cleaned my room while I was gone.|Someone clean my room while I was gone.
Someone must have left the water running.|Someone must have left the water run.
Something is the matter with this TV set.|Something be the matter with thbe TV set.
Sometimes you gotta do what you gotta do.|Sometimes you getta do what you getta do.
Sooner or later, I'll probably get bored.|Sooner or later, I'll probably get bore.
Sorry, I didn't know you were still here.|Sorry, I don't know you were still here.
Spain was ruled by a dictator until 1975.|Spain be ruled by a dictator until 1975.
Spring is the best season to visit Kyoto.|Spring be the best season to vbeit Kyoto.
Strictly speaking, the tomato is a fruit.|Strictly speak, the tomato is a fruit.
Suddenly, a man stepped in front of them.|Suddenly, a man step in front of them.
Take care not to awake the sleeping baby.|Take care not to awake the sleep baby.
Tell me if you don't think this is funny.|Tell me if you don't think thbe be funny.
Thank you for considering me for the job.|Thank you for consider me for the job.
Thank you for helping me find a good job.|Thank you for help me find a good job.
Thank you for helping me write my resume.|Thank you for help me write my resume.
Thank you for teaching me how to do this.|Thank you for teach me how to do this.
That adds a new dimension to our problem.|That add a new dimension to our problem.
That chicken hasn't laid any eggs lately.|That chicken haven't laid any eggs lately.
That experiment led to a great discovery.|That experiment lead to a great discovery.
That he is a genius is clear to everyone.|That he be a genius be clear to everyone.
That house is the place where I was born.|That house be the place where I was born.
That is the sort of job I am cut out for.|That be the sort of job I am cut out for.
That organization is corrupt to its core.|That organization be corrupt to its core.
That tradition has fallen by the wayside.|That tradition have fallen by the wayside.
I'm going to do that.|I'm go to do that.
I've done everything I can do.|I've do everything I can do.
That's why no one wants to work with you.|That's why no one want to work with you.
The accident was due to his carelessness.|The accident be due to his carelessness.
The accused tried to justify his actions.|The accuse tried to justify his actions.
The age of nuclear power is not yet over.|The age of nuclear power be not yet over.
The air conditioner doesn't seem to work.|The air conditioner don't seem to work.
The airplane was flying above the clouds.|The airplane be flying above the clouds.
The allegations they made were unfounded.|The allegations they make were unfounded.
The apple doesn't fall far from the tree.|The apple don't fall far from the tree.
The attack began without enough planning.|The attack begin without enough planning.
The baby has been crying for a long time.|The baby have been crying for a long time.
The ball rolled on the ground towards me.|The ball roll on the ground towards me.
The bird was covered with white feathers.|The bird be covered with white feathers.
The book you gave me is very interesting.|The book you give me is very interesting.
The boss has a good opinion of your work.|The boss have a good opinion of your work.
The boy denied having stolen the bicycle.|The boy deny having stolen the bicycle.
The boy did nothing but cry all day long.|The boy do nothing but cry all day long.
The boy is playing with his toy soldiers.|The boy be playing with hbe toy soldiers.
The boy playing the guitar is my brother.|The boy play the guitar is my brother.
The building collapsed in the earthquake.|The building collapse in the earthquake.
The building was heavily damaged by fire.|The building be heavily damaged by fire.
The bus driver didn't see the pedestrian.|The bus driver don't see the pedestrian.
The cake got crushed by the jar of juice.|The cake get crushed by the jar of juice.
The canteen had not a drop of water left.|The canteen have not a drop of water left.
The children have already gone to school.|The children have already go to school.
The children shared a pizza after school.|The children share a pizza after school.
The church is between my house and yours.|The church be between my house and yours.
The coffee is too bitter for me to drink.|The coffee be too bitter for me to drink.
The computer industry is enjoying a boom.|The computer industry be enjoying a boom.
The conference went on according to plan.|The conference go on according to plan.
The cost of living in Tokyo is very high.|The cost of living in Tokyo be very high.
The cost of living is very high in Tokyo.|The cost of living be very high in Tokyo.
The cough syrup has a licorice flavoring.|The cough syrup have a licorice flavoring.
The country is headed on the wrong track.|The country be headed on the wrong track.
The dead and wounded soon lay everywhere.|The dead and wound soon lay everywhere.
The doctor advised me to give up smoking.|The doctor advise me to give up smoking.
The doctor instructed me to go on a diet.|The doctor instruct me to go on a diet.
The dog pursued a rabbit into the forest.|The dog pursue a rabbit into the forest.
The earthworm wriggled when I touched it.|The earthworm wriggle when I touched it.
The elevator stopped on the second floor.|The elevator stop on the second floor.
The explorers finally reached their goal.|The explorers finally reach their goal.
The fact is that I have no money with me.|The fact be that I have no money with me.
The family had a hard time after the war.|The family have a hard time after the war.
The fishermen took photos of their catch.|The fishermen take photos of their catch.
The food was so good that I ate too much.|The food be so good that I ate too much.
The game was postponed until next Sunday.|The game be postponed until next Sunday.
The girl is reading with her grandfather.|The girl be reading with her grandfather.
The girl who works at the bakery is cute.|The girl who works at the bakery be cute.
The girl's parents agreed to her request.|The girl's parents agree to her request.
The guy who hit you is at the front door.|The guy who hit you be at the front door.
The island was now surrounded by militia.|The island be now surrounded by militia.
The mayor presented the prizes in person.|The mayor present the prizes in person.
The members of the committee are all men.|The members of the committee be all men.
The method was crude, but very effective.|The method be crude, but very effective.
The minister approved the building plans.|The minister approve the building plans.
The moon came out from behind the clouds.|The moon come out from behind the clouds.
The mother of that child is an announcer.|The mother of that child be an announcer.
The movie industry became a big business.|The movie industry become a big business.
The museum is open from Monday to Friday.|The museum be open from Monday to Friday.
The nation mourned the death of the king.|The nation mourn the death of the king.
The need for reform in Italy is enormous.|The need for reform in Italy be enormous.
The neighbor's dog was barking all night.|The neighbor's dog be barking all night.
The officer inspired his men to be brave.|The officer inspire his men to be brave.
The old lady smiled at her granddaughter.|The old lady smile at her granddaughter.
The only thing that Tom drinks is coffee.|The only thing that Tom drinks be coffee.
The password you have entered is invalid.|The password you have enter is invalid.
The people I work with are all very kind.|The people I work with be all very kind.
The pharmacy isn't far from the hospital.|The pharmacy ben't far from the hospital.
The planet closest to the sun is Mercury.|The planet closest to the sun be Mercury.
The planet nearest to the sun is Mercury.|The planet nearest to the sun be Mercury.
The post office is not too far from here.|The post office be not too far from here.
The present government has many problems.|The present government have many problems.
The problem is you're not patient enough.|The problem be you're not patient enough.
The pyramids were built in ancient times.|The pyramids be built in ancient times.
The quickest means of travel is by plane.|The quickest means of travel be by plane.
The reporter refused to name his sources.|The reporter refuse to name his sources.
The results are by no means satisfactory.|The results be by no means satisfactory.
The richer he became, the more he wanted.|The richer he become, the more he wanted.
The rooms in this hotel are pretty basic.|The rooms in this hotel be pretty basic.
The school is closed because of the snow.|The school be closed because of the snow.
The shop is just in front of the station.|The shop be just in front of the station.
The situation became worse by the minute.|The situation become worse by the minute.
The situation changed the following year.|The situation change the following year.
The size of the universe is unimaginable.|The size of the universe be unimaginable.
The station is in the center of the city.|The station be in the center of the city.
The temperature is below zero today, too.|The temperature be below zero today, too.
The time bomb exploded with a loud noise.|The time bomb explode with a loud noise.
Fuji is covered with snow.|Fuji be covered with snow.
The train was about to leave the station.|The train be about to leave the station.
The train was almost an hour behind time.|The train be almost an hour behind time.
The truck made a sharp turn to the right.|The truck make a sharp turn to the right.
The two had been enemies for a long time.|The two have been enemies for a long time.
The two of them were never to meet again.|The two of them be never to meet again.
The typewriter is stored in the basement.|The typewriter be stored in the basement.
The union was modest in its wage demands.|The union be modest in its wage demands.
There are few places to park around here.|There be few places to park around here.
There are many beautiful parks in London.|There be many beautiful parks in London.
There are many different kinds of beauty.|There be many different kinds of beauty.
There are many good reasons not to do it.|There be many good reasons not to do it.
There are many red flowers in the garden.|There be many red flowers in the garden.
There are many wild animals in this area.|There be many wild animals in this bea.
There are people here who need your help.|There be people here who need your help.
There are plenty of nice girls out there.|There be plenty of nice girls out there.
"There are two zeros in the number ""2010.""|"There be two zeros in the number ""2010.""
"  There is a lot of furniture in this room.|"  There be a lot of furniture in thbe room.
There is almost no violence in that city.|There be almost no violence in that city.
There is always something happening here.|There be always something happening here.
There is an urgent need for a new policy.|There be an urgent need for a new policy.
There is an urgent need for a new system.|There be an urgent need for a new system.
There is an urgent need for blood donors.|There be an urgent need for blood donors.
There is an urgent need for clean energy.|There be an urgent need for clean energy.
There is an urgent need for more doctors.|There be an urgent need for more doctors.
There is little hope that they are alive.|There be little hope that they are alive.
There is no necessity for you to do that.|There be no necessity for you to do that.
There is no reason why I shouldn't do it.|There be no reason why I shouldn't do it.
There is nothing I can do to change that.|There be nothing I can do to change that.
There is nothing for you to be afraid of.|There be nothing for you to be afraid of.
There is sand at the bottom of the ocean.|There be sand at the bottom of the ocean.
There is too much furniture in the house.|There be too much furniture in the house.
There is too much furniture in this room.|There be too much furniture in thbe room.
There is very little hope of his success.|There be very little hope of hbe success.
There was a list of available candidates.|There be a list of available candidates.
There was a small box inside the big box.|There be a small box inside the big box.
There was no taxi, so I had to walk home.|There be no taxi, so I had to walk home.
There were all sorts of group activities.|There be all sorts of group activities.
There were fifty passengers on the plane.|There be fifty passengers on the plane.
There were hundreds of birds on the lake.|There be hundreds of birds on the lake.
There were no fences on the great plains.|There be no fences on the great plains.
There's a book about dancing on the desk.|There's a book about dance on the desk.
There's going to be a math test tomorrow.|There's go to be a math test tomorrow.
They accused him of stealing the bicycle.|They accuse him of stealing the bicycle.
They admired the fine view from the hill.|They admire the fine view from the hill.
They are now either in Kyoto or in Osaka.|They be now either in Kyoto or in Osaka.
They arrived at the foot of the mountain.|They arrive at the foot of the mountain.
They became friends in elementary school.|They become friends in elementary school.
They entertained us at dinner last night.|They entertain us at dinner last night.
They kept flashing that light in my eyes.|They kept flash that light in my eyes.
They really wanted to know what happened.|They really want to know what happened.
They studied the map to find a short cut.|They study the map to find a short cut.
They supported his right to speak freely.|They support his right to speak freely.
They talked on the telephone every night.|They talk on the telephone every night.
They waved flags to welcome the princess.|They wave flags to welcome the princess.
They were in that room with me all night.|They be in that room with me all night.
They were speaking in a Southern dialect.|They be speaking in a Southern dialect.
They worked together to put out the fire.|They work together to put out the fire.
They're expressing their love by hugging.|They're express their love by hugging.
This airport is easily accessible by bus.|The airport be easily accessible by bus.
This car was cheap enough for him to buy.|This car be cheap enough for him to buy.
This church was destroyed by cannon fire.|This church be destroyed by cannon fire.
This color is a bit darker than that one.|The color be a bit darker than that one.
This company's profit margin is very big.|The company's profit margin be very big.
This dictionary has about 40,000 entries.|This dictionary have about 40,000 entries.
This is a good book for children to read.|The be a good book for children to read.
This is a sociological study on abortion.|The be a sociological study on abortion.
This is one of the things he always says.|The be one of the things he always says.
This is the church where Blake is buried.|The be the church where Blake be buried.
This is the culmination of years of work.|The be the culmination of years of work.
This is the hardest thing I've ever done.|The be the hardest thing I've ever done.
This is the worst movie I have ever seen.|The be the worst movie I have ever seen.
This medicine does not have side effects.|This medicine do not have side effects.
This melody is familiar to many Japanese.|The melody be familiar to many Japanese.
This morning I got up earlier than usual.|This morning I get up earlier than usual.
This movie is so terrible it's hilarious.|The movie be so terrible it's hilarious.
This restaurant is full of young couples.|The restaurant be full of young couples.
This was the best-selling book last week.|This be the best-selling book last week.
Those countries used to belong to France.|Those countries use to belong to France.
Thoughts are expressed by means of words.|Thoughts be expressed by means of words.
Tickets are still available if you hurry.|Tickets be still available if you hurry.
Time is more precious than anything else.|Time be more precious than anything else.
To make a long story short, he was fired.|To make a long story short, he be fired.
To my surprise, he had a beautiful voice.|To my surprise, he have a beautiful voice.
Tom always wants to sit in the front row.|Tom always want to sit in the front row.
Tom and Mary adopted a handicapped child.|Tom and Mary adopt a handicapped child.
Tom and Mary are getting ready to go out.|Tom and Mary be getting ready to go out.
Tom and Mary don't know what's happening.|Tom and Mary don't know what's happen.
Tom and Mary were on the same wavelength.|Tom and Mary be on the same wavelength.
Tom armed himself with a gun and a knife.|Tom arm himself with a gun and a knife.
Tom asked the waitress for the wine list.|Tom ask the waitress for the wine list.
Tom cheated on his girlfriend for months.|Tom cheat on his girlfriend for months.
Tom congratulated Mary on her graduation.|Tom congratulate Mary on her graduation.
Tom cried for help, but nobody heard him.|Tom cry for help, but nobody heard him.
Tom didn't clap after Mary's performance.|Tom don't clap after Mary's performance.
Tom didn't have a good time at the party.|Tom don't have a good time at the party.
Tom didn't understand the joke Mary told.|Tom don't understand the joke Mary told.
Tom didn't want to leave his dog with me.|Tom don't want to leave his dog with me.
Tom doesn't need to know where I'm going.|Tom don't need to know where I'm going.
Tom doesn't really understand how I feel.|Tom don't really understand how I feel.
Tom doesn't wear glasses, but he used to.|Tom don't wear glasses, but he used to.
Tom fainted as soon as he saw the needle.|Tom faint as soon as he saw the needle.
Tom followed his parents down the street.|Tom follow his parents down the street.
Tom got killed in an automobile accident.|Tom get killed in an automobile accident.
Tom got mad at Mary because she was late.|Tom get mad at Mary because she was late.
Tom has a really good sense of direction.|Tom have a really good sense of direction.
Tom has been spreading rumors about Mary.|Tom have been spreading rumors about Mary.
Tom has decided to put off his departure.|Tom have decided to put off his departure.
Tom has less money than his brother does.|Tom have less money than his brother does.
Tom has stayed at my house several times.|Tom have stayed at my house several times.
Tom hoped to get back together with Mary.|Tom hop to get back together with Mary.
Tom is a Canadian who lives in Australia.|Tom be a Canadian who lives in Australia.
Tom is head over heels in love with Mary.|Tom be head over heels in love with Mary.
Tom is just a little bit shorter than me.|Tom be just a little bit shorter than me.
Tom is one of the few people I can trust.|Tom be one of the few people I can trust.
Tom is single and has never been married.|Tom be single and has never been married.
Tom is the captain of this baseball team.|Tom be the captain of thbe baseball team.
